Month,Year,LowTemp,HighTemp,WarmestMin,ColdestHigh,AveMin,AveMax,meanTemp,TotPrecip,Max24hrPrecip
8,1979,69,94,77,84,74,90.6,82.3,5.49,2.27
9,1979,59,90,75,75,68.9,85.3,77.1,15,8.83
10,1979,47,92,76,71,59.5,83.8,71.7,5.87,4.86
11,1979,29,84,65,49,45.8,68.9,57.4,1.41,0.89
12,1979,29,79,60,44,42.5,64.5,53.5,2.38,0.73
1,1980,30,76,62,45,47,63.8,55.4,7.38,2.3
2,1980,28,83,60,40,43.8,64.1,53.9,1.81,0.85
3,1980,24,89,67,45,52.5,70.4,61.5,4.49,2.04
4,1980,37,86,67,53,55.5,77.2,66.3,2.22,1.48
5,1980,59,92,76,80,68.6,85.7,77.2,4.68,1.51
6,1980,67,99,77,80,73.4,93.2,83.3,1.87,1.45
7,1980,71,103,79,86,75.8,96.4,86.1,2.28,1.22
8,1980,71,101,81,82,75.5,93.7,84.6,0.94,0.4
9,1980,66,98,78,77,73.9,90.8,82.4,7.52,1.88
10,1980,36,90,77,54,56.8,79.5,68.2,1.65,1.65
11,1980,28,85,60,44,47.5,68.4,58,3.03,0.84
12,1980,31,79,65,43,44.3,64.7,54.5,1.83,0.84
1,1981,27,75,51,46,40,61.3,50.6,3.56,2.24
2,1981,20,81,65,39,44.2,64.1,54.1,3.18,0.91
3,1981,39,88,67,60,51.6,71.4,61.5,1.57,0.73
4,1981,50,91,71,74,64.2,82.1,73.2,1.84,1.11
5,1981,49,91,76,74,66.4,83.4,74.9,11.13,9.48
6,1981,71,93,79,75,74.5,88.8,81.6,15.48,4.8
7,1981,71,98,80,81,74.8,91.8,83.3,9.14,3.47
8,1981,69,96,78,80,75,91.7,83.4,16.01,6.7
9,1981,55,94,79,75,69.6,87.7,78.6,2.26,1.5
10,1981,44,93,76,58,63.6,80.6,72.1,12.52,4.53
11,1981,36,84,68,62,54.1,74.7,64.4,2.73,1.13
12,1981,30,81,64,47,45.7,64.9,55.3,2.72,1.88
1,1982,15,80,67,35,43.1,63.5,53.3,2.23,1.07
2,1982,28,82,56,35,43.7,61.4,52.5,3.66,1.46
3,1982,30,84,69,52,55.9,72.8,64.4,2.38,1.2
4,1982,38,90,73,56,59.5,75.8,67.7,3.48,1.15
5,1982,52,92,74,72,66.5,83.3,74.9,6.53,3.6
